cards:category
AA:EP
AKs:EP
AQs:EP
AJs:EP
ATs:EP
AKo:EP
KK:EP
KQs:EP
KJs:EP
AQo:EP
QQ:EP
QJs:EP
AJo:EP
JJ:EP
JTs:EP
TT:EP
T9s:EP
99:EP
88:EP
77:EP
A9s:MP
A8s:MP
KTs:MP
KQo:MP
QTs:MP
KJo:MP
ATo:MP
98s:MP
66:MP
55:MP
A7s:HJ
A6s:HJ
A5s:HJ
A4s:HJ
A3s:HJ
A2s:HJ
K9s:HJ
Q9s:HJ
QJo:HJ
J9s:HJ
87s:HJ
44:HJ
33:HJ
22:HJ
K8s:CO
Q8s:CO
J8s:CO
T8s:CO
KTo:CO
QTo:CO
JTo:CO
A9o:CO
A8o:CO
76s:CO
K7s:BU
Q7s:BU
K9o:BU
Q9o:BU
J9o:BU
97s:BU
86s:BU
A7o:BU
A60:BU
65s:BU
A6o:BU
A5o:BU
A4o:BU
A3o:BU
A2o:BU
K6s:SB
K5s:SB
J7s:SB
T7s:SB
75s:SB
54s:SB
